day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)
72	7280.25	6130.722120920409	8429.777879079591	0.1578967589134427	1527.625	891.6000137294412	2163.6499862705587	0.41634889863059243	1193.0	678.2328003873888	1707.7671996126112	0.4314896895327839
73	7060.375	5833.258324023091	8287.49167597691	0.1738033285734694	1636.75	972.3170753333089	2301.182924666691	0.40594649437402847	1303.625	739.7402880914273	1867.5097119085726	0.4325513179852893
74	6830.125	5519.303818876468	8140.946181123532	0.19191759757303595	1745.625	1039.7763521680474	2451.473647831953	0.40435296689263306	1425.0	819.4783729035221	2030.521627096478	0.4249274576115635
75	6588.25	5198.508662016841	7977.991337983159	0.21094241080456244	1860.5	1128.7931352483452	2592.206864751655	0.39328506570903243	1552.0	893.5387121020113	2210.4612878979888	0.424266293748704
76	6342.125	4875.128204940753	7809.121795059247	0.23130997813181664	1971.875	1219.9794760899144	2723.7705239100856	0.3813099328862558	1686.75	971.444627149296	2402.055372850704	0.4240731423451632
77	6085.875	4540.464871666481	7631.285128333519	0.25393392541475457	2080.875	1302.4863407958806	2859.2636592041194	0.37406795660677333	1834.0	1066.4495175006168	2601.550482499383	0.4185117134674936
78	5819.0	4202.781871522395	7435.218128477605	0.2777484324587739	2197.0	1402.6938810751192	2991.306118924881	0.3615412466658538	1984.75	1161.6397838185335	2807.8602161814665	0.41471732771455677
79	5559.375	3880.5972691184807	7238.152730881519	0.3019723855436123	2303.625	1500.4430638688286	3106.8069361311714	0.34866001894022314	2137.75	1260.708783945141	3014.791216054859	0.41026369596765716
80	5283.0	3548.9352307979448	7017.064769202056	0.32823486072346303	2409.125	1608.0480499235298	3210.20195007647	0.3325178021383159	2308.625	1372.9093424265097	3244.3406575734903	0.4053129709560844
81	5006.75	3220.5610938326745	6792.9389061673255	0.3567561604169022	2518.375	1720.829460873259	3315.920539126741	0.31669054018037074	2475.5	1483.2474023191085	3467.7525976808915	0.40082916488826165
