day	S_t	I_t	R_t	cilow	cih
0	9999	1	0
1	9998	2	0
2	9998	2	0
3	9998	2	0
4	9998	2	0
5	9997	3	0
6	9997	3	0
7	9997	3	0
8	9997	3	0
9	9994	6	0
10	9994	6	0
11	9994	6	0
12	9994	6	0
13	9991	9	0
14	9990	8	2
15	9990	8	2
16	9990	8	2
17	9985	13	2
18	9982	15	3
19	9982	15	3
20	9982	15	3
21	9978	19	3
22	9973	21	6
23	9969	25	6
24	9969	25	6
25	9962	32	6
26	9958	33	9
27	9952	38	10
28	9950	40	10
29	9937	53	10
30	9931	54	15
31	9924	58	18
32	9919	63	18
33	9902	80	18
34	9892	86	22
35	9878	95	27
36	9871	98	31
37	9849	120	31
38	9830	132	38
39	9812	146	42
40	9794	158	48
41	9773	177	50
42	9740	197	63
43	9711	220	69
44	9688	236	76
45	9659	260	81
46	9614	288	98
47	9572	320	108
48	9530	348	122
49	9490	381	129
50	9427	422	151
51	9354	476	170
52	9292	520	188
53	9228	566	206
54	9152	621	227
55	9052	688	260
56	8961	750	289
57	8860	828	312
58	8743	916	341
59	8617	997	386
60	8460	1112	428
61	8327	1203	470
62	8171	1319	510
63	7998	1429	573
64	7786	1568	646
65	7595	1697	708
66	7391	1837	772
67	7138	2014	848
68	6907	2145	948
69	6661	2300	1039
70	6386	2474	1140
71	6075	2668	1257
72	5792	2825	1383
73	5536	2924	1540
74	5247	3080	1673
75	4952	3219	1829
76	4636	3362	2002
77	4347	3439	2214
78	4072	3523	2405
79	3791	3600	2609
80	3539	3599	2862
81	3306	3601	3093
82	3088	3573	3339
83	2850	3536	3614
84	2634	3441	3925
85	2456	3336	4208
86	2293	3243	4464
87	2143	3104	4753
88	2015	2937	5048
89	1883	2753	5364
90	1807	2540	5653
91	1711	2361	5928
92	1623	2168	6209
93	1556	1983	6461
94	1505	1801	6694
95	1440	1648	6912
96	1384	1466	7150
97	1342	1292	7366
98	1312	1144	7544
99	1282	1011	7707
100	1248	895	7857
101	1222	793	7985
102	1206	677	8117
103	1192	615	8193
104	1182	529	8289
105	1171	452	8377
106	1158	398	8444
107	1149	356	8495
108	1143	297	8560
109	1133	251	8616
110	1129	213	8658
111	1124	188	8688
112	1122	160	8718
113	1118	130	8752
114	1118	104	8778
115	1113	93	8794
116	1110	82	8808
117	1109	73	8818
118	1106	65	8829
119	1105	53	8842
120	1100	49	8851
121	1100	43	8857
122	1098	35	8867
123	1097	32	8871
124	1096	28	8876
125	1093	29	8878
126	1093	25	8882
127	1093	25	8882
128	1093	20	8887
129	1093	17	8890
130	1093	16	8891
131	1091	15	8894
132	1091	14	8895
133	1091	9	8900
134	1091	9	8900
135	1091	7	8902
136	1091	6	8903
137	1091	5	8904
138	1091	2	8907
139	1091	2	8907
140	1091	2	8907
141	1091	2	8907
142	1091	2	8907
143	1091	2	8907
144	1091	0	8909
145	1091	0	8909
146	1091	0	8909
147	1091	0	8909
148	1091	0	8909
149	1091	0	8909
150	1091	0	8909
151	1091	0	8909
152	1091	0	8909
153	1091	0	8909
154	1091	0	8909
155	1091	0	8909
156	1091	0	8909
157	1091	0	8909
158	1091	0	8909
159	1091	0	8909
160	1091	0	8909
161	1091	0	8909
162	1091	0	8909
163	1091	0	8909
164	1091	0	8909
165	1091	0	8909
166	1091	0	8909
167	1091	0	8909
168	1091	0	8909
169	1091	0	8909
170	1091	0	8909
171	1091	0	8909
172	1091	0	8909
173	1091	0	8909
174	1091	0	8909
175	1091	0	8909
176	1091	0	8909
177	1091	0	8909
178	1091	0	8909
179	1091	0	8909
180	1091	0	8909
181	1091	0	8909
182	1091	0	8909
183	1091	0	8909
