day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)	mean(RT)	ciLow(RT)	ciHigh(RT)	relerr(RT)
33	9968.0	9951.684582245613	9984.315417754387	0.0016367794697419332	19.75	8.41186184273563	31.088138157264368	0.5740829446716137	12.25	6.496794431166339	18.00320556883366	0.469649434190503	1.2241615527329812	0.8212887509848181	1.6270343544811443	0.329101008644436
34	9965.25	9947.811969709803	9982.688030290197	0.0017498838754870629	20.875	8.617036057438078	33.13296394256192	0.5872078535359004	13.875	8.00688005171205	19.743119948287948	0.42292756384057295	1.2960227272727272	0.9702547392531982	1.6217907152922562	0.2513597803219514
35	9962.875	9943.435105831664	9982.314894168336	0.0019512333707224527	22.25	8.80850980718439	35.69149019281561	0.6041119187782297	14.875	8.377083426039999	21.37291657396	0.4368347276611765	1.2995743239503668	1.0340861816465623	1.5650624662541712	0.20428854080218348
36	9960.375	9939.678808002549	9981.071191997451	0.002077852691033245	23.25	8.840543902846122	37.65945609715388	0.6197615525657582	16.375	9.82352300750416	22.92647699249584	0.40009019801501305	1.3424611025417477	1.0083922192149228	1.6765299858685725	0.2488480915345076
37	9957.75	9935.745241447612	9979.754758552388	0.002209812312258007	24.0	9.540393829034425	38.45960617096557	0.6024835904568989	18.25	10.410612097132708	26.089387902867294	0.4295555015269749	1.405363518477261	1.039572869260742	1.77115416769378	0.2602818732713799
38	9954.375	9931.9291338071	9976.8208661929	0.002254874484123914	25.5	11.291157462944893	39.708842537055105	0.557209511257063	20.125	11.559063267759885	28.690936732240115	0.4256366078131734	1.3803604567267356	0.8830172802618872	1.877703633191584	0.36029949571592623
39	9951.375	9927.418587459273	9975.331412540727	0.0024073469787568116	26.125	12.65614584250967	39.59385415749033	0.5155542261240318	22.5	11.3729774454116	33.6270225545884	0.49453433575948447	1.430056517232288	0.8899888208427648	1.9701242136218116	0.37765479187826995
40	9947.75	9921.480350278087	9974.019649721913	0.0026407629586502708	28.375	13.446950738150745	43.30304926184925	0.5260986523999738	23.875	11.67418781166468	36.07581218833532	0.5110287827575003	1.4177325755230683	0.8865496931814106	1.948915457864726	0.3746707182387195
41	9942.0	9911.777443110152	9972.222556889848	0.0030398870337807753	32.125	13.364691055476776	50.885308944523224	0.58397848854547	25.875	13.5115979853697	38.238402014630296	0.4778126382465816	1.3715445883146975	0.9210029946572456	1.8220861819721494	0.3284921230384938
42	9937.5	9904.686083745433	9970.313916254567	0.0033020293086356814	34.0	12.949531074322074	55.050468925677926	0.6191314389905272	28.5	15.805374571282881	41.19462542871712	0.44542545363919717	1.4325821466445907	1.0381437963593372	1.8270204969298443	0.2753338447007115
43	9933.375	9897.658947491303	9969.091052508697	0.003595560673859205	35.25	13.597450095529744	56.902549904470256	0.6142567348785888	31.375	16.280662687132825	46.469337312867175	0.4810944163463641	1.4128324354183206	0.9776268943172887	1.8480379765193526	0.3080376201670182
44	9929.375	9890.887056305888	9967.862943694112	0.0038761698187560994	37.0	13.719728262557364	60.28027173744263	0.6291965334443955	33.625	17.719009485960605	49.530990514039395	0.47304061008295606	1.4610739633071386	1.0911791776086435	1.8309687490056337	0.25316636596633263
45	9924.375	9882.950817149029	9965.799182850971	0.004173984039394977	39.5	15.195750859628859	63.80424914037114	0.6152974465916744	36.125	18.40475101329567	53.845248986704334	0.49052592350738633	1.5474630064608907	1.1959613895767653	1.8989646233450161	0.22714702413986848
