day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)
15	9989.6	9987.307879185184	9991.892120814817	0.0002294507102202149	8.7	6.592696752929514	10.807303247070484	0.2422187640310903	1.7	1.3544497855950957	2.045550214404904	0.2032648320028849
16	9989.1	9986.92890521242	9991.27109478758	0.00021734638631909367	9.2	7.210673173563339	11.189326826436659	0.21623117678659354	1.7	1.3544497855950957	2.045550214404904	0.2032648320028849
17	9986.4	9983.16196172671	9989.63803827329	0.0003242448002574231	11.8	8.640169584223566	14.959830415776436	0.2677822386251216	1.8	1.4983790449678678	2.101620955032132	0.16756719724007343
18	9984.4	9980.378701467007	9988.421298532992	0.0004027581560226945	12.7	9.243675215266988	16.15632478473301	0.272151557852993	2.9	2.1886284002984926	3.6113715997015072	0.2453005516212094
19	9982.8	9978.798545852998	9986.801454147	0.00040083485064320277	14.1	10.524010399579051	17.675989600420948	0.2536162837177977	3.1	2.473637044343488	3.726362955656512	0.2020525663408104
20	9982.1	9978.132079179339	9986.067920820662	0.0003975036135343872	14.7	11.194670055545547	18.20532994445445	0.238457819350643	3.2	2.542632368880355	3.8573676311196454	0.20542738472488906
21	9979.2	9974.189096354748	9984.210903645253	0.0005021348049194422	17.5	12.848651822067772	22.151348177932228	0.2657913244532702	3.3	2.711066258428408	3.8889337415715914	0.17846477017320955
22	9976.1	9969.98845307952	9982.21154692048	0.0006126188511021668	19.0	13.998182316248796	24.001817683751206	0.263253562302695	4.9	3.7589116785438055	6.041088321456195	0.23287516764412144
23	9973.2	9966.3484889648	9980.0515110352	0.000686992242730608	21.2	15.400165485961285	26.999834514038714	0.27357709971880734	5.6	4.329248329085381	6.870751670914618	0.22691994123475331
24	9971.1	9963.974703666716	9978.225296333285	0.0007145948123361232	23.0	16.892641142773485	29.107358857226515	0.26553734161854414	5.9	4.66326213017877	7.136737869821231	0.20961658810529335
25	9967.0	9958.161167868897	9975.838832131103	0.0008868096850710584	26.9	18.895315689400007	34.90468431059999	0.2975719074572487	6.1	5.0098791091256905	7.190120890874309	0.1787083427662802
