day	S_t	I_t	R_t	cilow	cih
0	9999	1	0
1	9998	2	0
2	9998	2	0
3	9998	2	0
4	9998	2	0
5	9998	2	0
6	9997	3	0
7	9996	4	0
8	9996	4	0
9	9996	4	0
10	9996	4	0
11	9994	6	0
12	9993	7	0
13	9992	8	0
14	9992	8	0
15	9992	8	0
16	9990	8	2
17	9988	10	2
18	9988	10	2
19	9986	12	2
20	9986	12	2
21	9984	13	3
22	9981	15	4
23	9981	15	4
24	9980	16	4
25	9978	18	4
26	9975	19	6
27	9973	20	7
28	9971	21	8
29	9968	24	8
30	9965	27	8
31	9965	25	10
32	9961	27	12
33	9960	28	12
34	9953	33	14
35	9946	40	14
36	9946	38	16
37	9942	39	19
38	9940	41	19
39	9936	44	20
40	9928	50	22
41	9924	51	25
42	9916	57	27
43	9909	62	29
44	9906	62	32
45	9896	69	35
46	9887	78	35
47	9876	85	39
48	9868	92	40
49	9861	92	47
50	9852	94	54
51	9841	105	54
52	9825	117	58
53	9808	132	60
54	9798	138	64
55	9785	143	72
56	9776	148	76
57	9751	165	84
58	9735	174	91
59	9718	188	94
60	9693	203	104
61	9677	210	113
62	9656	220	124
63	9623	245	132
64	9586	275	139
65	9560	292	148
66	9535	306	159
67	9506	319	175
68	9452	356	192
69	9403	395	202
70	9370	415	215
71	9340	436	224
72	9292	459	249
73	9237	498	265
74	9176	542	282
75	9131	562	307
76	9083	594	323
77	9022	634	344
78	8943	680	377
79	8862	724	414
80	8784	776	440
81	8731	804	465
82	8659	847	494
83	8559	893	548
84	8469	934	597
85	8357	1013	630
86	8268	1072	660
87	8178	1114	708
88	8056	1181	763
89	7951	1225	824
90	7819	1312	869
91	7680	1403	917
92	7562	1460	978
93	7431	1512	1057
94	7292	1570	1138
95	7155	1629	1216
96	6997	1734	1269
97	6863	1796	1341
98	6726	1833	1441
99	6572	1897	1531
100	6408	1949	1643
101	6210	2058	1732
102	6045	2133	1822
103	5882	2174	1944
104	5731	2220	2049
105	5552	2267	2181
106	5376	2304	2320
107	5227	2335	2438
108	5053	2378	2569
109	4902	2390	2708
110	4762	2393	2845
111	4610	2387	3003
112	4441	2422	3137
113	4286	2440	3274
114	4155	2417	3428
115	4024	2384	3592
116	3893	2317	3790
117	3768	2277	3955
118	3644	2238	4118
119	3541	2190	4269
120	3436	2116	4448
121	3314	2062	4624
122	3224	2003	4773
123	3140	1913	4947
124	3053	1849	5098
125	2993	1769	5238
126	2917	1693	5390
127	2858	1583	5559
128	2790	1496	5714
129	2737	1418	5845
130	2687	1337	5976
131	2641	1252	6107
132	2608	1160	6232
133	2565	1079	6356
134	2523	1018	6459
135	2490	946	6564
136	2464	850	6686
137	2439	785	6776
138	2416	724	6860
139	2395	658	6947
140	2366	627	7007
141	2351	566	7083
142	2332	526	7142
143	2321	469	7210
144	2307	430	7263
145	2292	395	7313
146	2281	360	7359
147	2272	336	7392
148	2261	304	7435
149	2254	269	7477
150	2239	251	7510
151	2232	232	7536
152	2226	213	7561
153	2220	196	7584
154	2209	186	7605
155	2204	162	7634
156	2200	151	7649
157	2196	136	7668
158	2190	131	7679
159	2188	119	7693
160	2187	105	7708
161	2186	95	7719
162	2186	86	7728
163	2182	79	7739
164	2181	73	7746
165	2180	59	7761
166	2179	53	7768
167	2178	48	7774
168	2177	43	7780
169	2174	35	7791
170	2173	31	7796
171	2172	28	7800
172	2171	25	7804
173	2171	19	7810
174	2170	18	7812
175	2169	18	7813
176	2168	18	7814
177	2168	18	7814
178	2168	14	7818
179	2167	14	7819
180	2167	13	7820
181	2167	12	7821
182	2165	13	7822
183	2165	12	7823
184	2164	10	7826
185	2164	9	7827
186	2163	9	7828
187	2162	9	7829
188	2162	9	7829
189	2162	8	7830
190	2162	7	7831
191	2162	6	7832
192	2162	6	7832
193	2162	6	7832
194	2162	5	7833
195	2162	5	7833
196	2162	5	7833
197	2162	3	7835
198	2162	3	7835
199	2162	2	7836
200	2162	2	7836
201	2162	1	7837
202	2162	0	7838
