# n	Theoretical	ciLow	ave	ciHigh	RelErr
100	1.101627236349861	2.0	2.0	2.0	0.0
200	1.2027671315019213	2.0	2.0	2.0	0.0
400	1.291454348467959	2.0	2.0	2.0	0.0
800	1.3704218822658254	2.0	2.0	2.0	0.0
1000	1.394108486710439	2.0	2.0	2.0	0.0
2000	1.4630853603709306	1.873784283725901	2.1	2.326215716274099	0.10772176965433292
4000	1.5260383409184597	2.0	2.0	2.0	0.0
8000	1.5839355988285373	1.873784283725901	2.1	2.326215716274099	0.10772176965433292
10000	1.601627236349861	1.898379044967868	2.2	2.5016209550321324	0.13710043410551462
20000	1.6539683327333852	1.9544497855950955	2.3	2.645550214404904	0.15023922365430623
40000	1.702767131501921	2.4983790449678676	2.8	3.101620955032132	0.10772176965433292
80000	1.7484728562597305	2.673784283725901	2.9	3.126215716274099	0.07800541940486178
100000	1.762591283793542	2.673784283725901	2.9	3.126215716274099	0.07800541940486178
200000	1.8047635883825421	3.0	3.0	3.0	0.0
400000	1.844605952862205	3.0	3.0	3.0	0.0
800000	1.8823624035832323	3.0	3.0	3.0	0.0
1000000	1.8941084867104392	3.0	3.0	3.0	0.0
