# n	Lowerbound	3*Lowerbound	ciLow	ave	ciHigh	RelErr
100	3.0154738238809906	9.046421471642972	3.747568567451802	4.2	4.652431432548198	0.10772176965433292
200	3.177612685603437	9.532838056810311	3.9197318961455707	4.9	5.88026810385443	0.20005471507233255
400	3.3465589395509237	10.03967681865277	4.111066258428409	4.7	5.288933741571592	0.12530505139821096
800	3.5185720231750044	10.555716069525014	5.111066258428409	5.7	6.288933741571592	0.10332170904764763
1000	3.574249916581999	10.722749749745997	5.372163328693769	5.9	6.427836671306232	0.08946384259427649
2000	3.747486162352814	11.242458487058443	5.372163328693769	5.9	6.427836671306232	0.08946384259427649
4000	3.9205385486777398	11.761615646033219	5.325555041109745	6.0	6.674444958890255	0.1124074931483758
8000	4.092901344679497	12.27870403403849	6.030591282220163	6.4	6.769408717779838	0.05772011215309952
10000	4.148191313801706	12.444573941405118	6.099818231624879	6.6	7.10018176837512	0.07578511642047281
20000	4.319221866822944	12.957665600468832	6.523095396031619	7.0	7.476904603968381	0.0681292291383402
40000	4.4890790104883465	13.46723703146504	7.122973806209835	7.5	7.877026193790165	0.05027015917202204
80000	4.657696664045312	13.973089992135936	7.061182564440326	7.8	8.538817435559674	0.09472018404611207
100000	4.711710714547694	14.135132143643082	7.473637044343487	8.1	8.726362955656512	0.07732875995759411
200000	4.878655738566527	14.635967215699582	7.572163328693768	8.1	8.62783667130623	0.06516502114891745
400000	5.044340349645121	15.133021048935362	7.954449785595097	8.3	8.645550214404905	0.041632555952398106
800000	5.208784566964428	15.626353700893283	8.354449785595095	8.7	9.045550214404903	0.03971841544883958
1000000	5.261464353591485	15.784393060774455	8.354449785595095	8.7	9.045550214404903	0.03971841544883958
