# peoples	Theoretical	Simulations	ciLow	ciHigh	RelErr
1	4.999998749477541e-07	0.0	0.0	0.0	0
101	0.005087514536707527	0.0	0.0	0.0	0
201	0.019997836826443516	0.01	0.0	0.02974270939245135	0
301	0.044289752251108316	0.02	0.0	0.047779037321121556	0
401	0.07725328768592821	0.08	0.026169543507028978	0.13383045649297104	0
501	0.11794467660073904	0.1	0.04047349145473951	0.15952650854526051	0
601	0.1652312177814974	0.21	0.12918120914802259	0.29081879085197737	0
701	0.21784355429534663	0.24	0.1552574413589391	0.3247425586410609	0
801	0.2744320126343128	0.27	0.1819088118430689	0.35809118815693114	0
901	0.3336235314150269	0.35	0.255358883291992	0.44464111670800793	0
1001	0.39407587074495287	0.43	0.33176623010382855	0.5282337698961714	0
1101	0.4545261977126397	0.48	0.3808685528755208	0.5791314471244792	0
1201	0.5138317395098897	0.52	0.42086855287552083	0.6191314471244792	0
1301	0.5710009180358002	0.59	0.4924096018715313	0.6875903981284687	0
1401	0.6252141564466664	0.66	0.5660059025921921	0.753994097407808	0
1501	0.6758343083740969	0.76	0.6752574413589392	0.8447425586410608	0
1601	0.7224073423258808	0.8	0.7206313219396527	0.8793686780603474	0
1701	0.7646544689869504	0.81	0.7321589894368198	0.8878410105631803	0
1801	0.8024572969424906	0.85	0.7791492832704963	0.9208507167295037	0
1901	0.8358378302829854	0.86	0.791150245022746	0.928849754977254	0
2001	0.8649351843720756	0.88	0.8155205811312551	0.9444794188687449	0
2101	0.8899808128759357	0.87	0.8032701024581175	0.9367298975418825	0
2201	0.9112738394295209	0.93	0.8793732964846019	0.9806267035153982	0
2301	0.9291578063298135	0.94	0.8928774582857727	0.9871225417142272	0
2401	0.9439998270579016	0.94	0.8928774582857727	0.9871225417142272	0
2501	0.95617279343569	0.95	0.9067549941315665	0.9932450058684335	0
2601	0.9660409706465041	0.96	0.9211174474385837	0.9988825525614162	0
2701	0.9739490358512672	0.97	0.9361517944197859	1.0	0
2801	0.98021439250917	0.98	0.9522209626788785	1.0	0
2901	0.9851224289680209	0.98	0.9522209626788785	1.0	0
