# peoples	Theoretical	Simulations	ciLow	ciHigh	RelErr	ciLowPeople	meanPeople	ciHighPeople	peopleRelErr
1	4.999998749477541e-07	0.0	0.0	0.0	0	0.0	0.0	0.0	0
101	0.005087514536707527	0.008	0.0024719061238052823	0.013528093876194719	0	0.13985314134393317	0.564	0.9881468586560667	0
201	0.019997836826443516	0.02	0.011312344010169728	0.028687655989830273	0	1.3442030918495347	2.489	3.6337969081504653	0
301	0.044289752251108316	0.047	0.033866818108484006	0.060133181891515994	0	6.369938447690737	9.049	11.728061552309262	0
401	0.07725328768592821	0.084	0.06678678632933834	0.10121321367066168	0	17.480093552902538	22.385	27.289906447097465	0
501	0.11794467660073904	0.12	0.09983461402638663	0.14016538597361336	0	34.2194417564065	41.635	49.05055824359349	0
601	0.1652312177814974	0.17	0.14669022471530965	0.19330977528469037	0	56.111929310075105	65.9	75.6880706899249	0
701	0.21784355429534663	0.238	0.21157344545854156	0.2644265545414584	0	97.72777945161917	111.003	124.27822054838083	0
801	0.2744320126343128	0.278	0.25019866975542554	0.3058013302445745	0	131.35827565179517	147.221	163.08372434820484	0
901	0.3336235314150269	0.332	0.30277652528154386	0.3612234747184562	0	169.7274507635271	187.825	205.9225492364729	0
1001	0.39407587074495287	0.385	0.35480448072995785	0.41519551927004217	0	219.70241300849878	240.569	261.43558699150117	0
1101	0.4545261977126397	0.448	0.4171409092396167	0.4788590907603833	0	281.6821647811627	305.202	328.72183521883727	0
1201	0.5138317395098897	0.51	0.47897886326841277	0.5410211367315872	0	347.57763457438955	373.511	399.4443654256105	0
1301	0.5710009180358002	0.559	0.5281894267599297	0.5898105732400704	0	400.1268154639354	427.784	455.4411845360646	0
1401	0.6252141564466664	0.606	0.5756779190459569	0.6363220809540431	0	473.6295774767651	503.811	533.9924225232348	0
1501	0.6758343083740969	0.664	0.6346891604387449	0.6933108395612552	0	552.2056700806236	584.007	615.8083299193763	0
1601	0.7224073423258808	0.717	0.6890470675193098	0.7449529324806902	0	633.1718256377014	666.138	699.1041743622986	0
1701	0.7646544689869504	0.759	0.7324598123529535	0.7855401876470465	0	690.8986345698344	724.527	758.1553654301657	0
1801	0.8024572969424906	0.798	0.7730855267105765	0.8229144732894236	0	745.8147623021495	780.133	814.4512376978506	0
1901	0.8358378302829854	0.833	0.8098550996021433	0.8561449003978566	0	812.8138887861945	847.892	882.9701112138056	0
2001	0.8649351843720756	0.849	0.826781389347921	0.871218610652079	0	840.3866002313259	875.843	911.299399768674	0
2101	0.8899808128759357	0.877	0.8566189322666427	0.8973810677333574	0	899.0212913117349	935.307	971.5927086882651	0
2201	0.9112738394295209	0.898	0.8792192542164163	0.9167807457835837	0	941.2975601885096	978.376	1015.4544398114904	0
2301	0.9291578063298135	0.923	0.9064567515166871	0.9395432484833129	0	1000.0876425897884	1037.715	1075.3423574102114	0
2401	0.9439998270579016	0.934	0.9185929324815663	0.9494070675184338	0	1025.0436342164471	1062.839	1100.6343657835528	0
2501	0.95617279343569	0.953	0.9398668181084839	0.966133181891516	0	1067.9738402991827	1106.367	1144.7601597008172	0
2601	0.9660409706465041	0.966	0.9547538828910962	0.9772461171089037	0	1100.3743346846584	1139.197	1178.0196653153414	0
2701	0.9739490358512672	0.973	0.9629419710316136	0.9830580289683863	0	1118.0882480415553	1157.193	1196.2977519584447	0
2801	0.98021439250917	0.982	0.9737497601148674	0.9902502398851326	0	1141.8187142315535	1181.486	1221.1532857684467	0
2901	0.9851224289680209	0.984	0.9762136822916893	0.9917863177083107	0	1146.1974680961118	1185.952	1225.7065319038882	0
3001	0.9889242860486994	0.986	0.9787091686019226	0.9932908313980774	0	1150.4564147186843	1190.352	1230.2475852813159	0
3101	0.9918366487343655	0.992	0.9864719061238053	0.9975280938761947	0	1168.8370460698623	1209.336	1249.8349539301378	0
3201	0.9940430727920961	0.992	0.9864719061238053	0.9975280938761947	0	1168.0429940963397	1208.536	1249.0290059036604	0
3301	0.9956963875314004	0.994	0.9892077066204021	0.9987922933795979	0	1175.331467925362	1216.092	1256.8525320746382	0
3401	0.9969217699307076	0.996	0.9920831743086815	0.9999168256913185	0	1181.2436559134378	1222.292	1263.340344086562	0
