# n	Lowerbound	3*Lowerbound	ciLow	ave	ciHigh	RelErr
100	3.0154738238809906	9.046421471642972	3.6447109789604406	4.2	4.75528902103956	0.1322116716760856
200	3.177612685603437	9.532838056810311	3.479278386208362	5.0	6.520721613791638	0.3041443227583276
400	3.3465589395509237	10.03967681865277	3.4894219579208805	4.6	5.710578042079119	0.24143000914763466
800	3.5185720231750044	10.555716069525014	4.76114936631643	5.8	6.8388506336835695	0.17911217822130512
1000	3.574249916581999	10.722749749745997	5.719912619341743	6.4	7.080087380658258	0.10626365322785264
2000	3.747486162352814	11.242458487058443	5.122010966914916	6.0	6.877989033085084	0.14633150551418075
4000	3.9205385486777398	11.761615646033219	4.479278386208362	6.0	7.520721613791638	0.2534536022986063
8000	4.092901344679497	12.27870403403849	5.719912619341743	6.4	7.080087380658258	0.10626365322785265
10000	4.148191313801706	12.444573941405118	5.919912619341742	6.6	7.280087380658257	0.10304354252397835
20000	4.319221866822944	12.957665600468832	6.122010966914916	7.0	7.877989033085084	0.12542700472644064
40000	4.4890790104883465	13.46723703146504	6.719912619341743	7.4	8.080087380658258	0.09190370008895364
80000	4.657696664045312	13.973089992135936	6.719912619341743	7.4	8.080087380658258	0.09190370008895364
100000	4.711710714547694	14.135132143643082	7.24471097896044	7.8	8.35528902103956	0.07119090013327689
200000	4.878655738566527	14.635967215699582	7.719912619341743	8.4	9.080087380658258	0.08096278341169726
400000	5.044340349645121	15.133021048935362	7.719912619341743	8.4	9.080087380658258	0.08096278341169724
800000	5.208784566964428	15.626353700893283	8.244710978960441	8.8	9.35528902103956	0.06310102511813177
1000000	5.261464353591485	15.784393060774455	8.244710978960441	8.8	9.35528902103956	0.06310102511813177
