	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.49837904496786783	0.8	1.1016209550321323	0.3770261937901652
1	Avg users	92.89524995770465	97.58256348353123	102.26987700935781	0.048034334808366094
2	Arrivals	191.79548990367164	200.1	208.40451009632835	0.0415017995818509
3	Departures	191.0256707620986	199.3	207.57432923790142	0.04151695553387558
4	Delay	0.48021795577300264	0.4895571873053656	0.4988964188377286	0.01907689596749304
5	Res queue	0.49837904496786783	0.8	1.1016209550321323	0.3770261937901652
