	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.5603227977446688	1.4	2.239677202255331	0.5997694301823794
1	Avg users	0.5107423128354366	0.5451787815891155	0.5796152503427944	0.06316546042621406
2	Arrivals	198.07263930624674	202.2	206.32736069375323	0.020412268515100137
3	Departures	196.53710235839864	200.8	205.06289764160138	0.02122956992829365
4	Delay	2.575072062898438	2.7080070073490656	2.840941951799693	0.04908958658152105
5	Res queue	0.5603227977446688	1.4	2.239677202255331	0.5997694301823794
