	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.06334935678528719	1.1	2.136650643214713	0.9424096756497389
1	Avg users	0.9861471550973624	1.1335734226017296	1.2809996901060967	0.1300544495529903
2	Arrivals	197.11066258428409	203.0	208.88933741571591	0.02901151436313258
3	Departures	196.22253130943974	201.9	207.57746869056027	0.028120201538188578
4	Delay	4.9681085821614905	5.5801737795164055	6.19223897687132	0.10968568749626971
5	Res queue	0.06334935678528719	1.1	2.136650643214713	0.9424096756497389
