# n	Lowerbound	3*Lowerbound	ciLow	ave	ciHigh	RelErr
100	3.0154738238809906	9.046421471642972	3.6447109789604406	4.2	4.75528902103956	0.1322116716760856
200	3.177612685603437	9.532838056810311	3.919912619341743	4.6	5.280087380658257	0.147845082751795
400	3.3465589395509237	10.03967681865277	4.644710978960441	5.2	5.75528902103956	0.1067863501999153
800	3.5185720231750044	10.555716069525014	4.644710978960441	5.2	5.75528902103956	0.1067863501999153
1000	3.574249916581999	10.722749749745997	4.919912619341742	5.6	6.280087380658257	0.1214441751175459
2000	3.747486162352814	11.242458487058443	4.919912619341742	5.6	6.280087380658257	0.1214441751175459
4000	3.9205385486777398	11.761615646033219	5.1611493663164305	6.2	7.23885063368357	0.1675565538199306
8000	4.092901344679497	12.27870403403849	6.644710978960441	7.2	7.75528902103956	0.0771234751443833
10000	4.148191313801706	12.444573941405118	5.919912619341742	6.6	7.280087380658257	0.10304354252397835
20000	4.319221866822944	12.957665600468832	6.24471097896044	6.8	7.355289021039559	0.0816601501528764
40000	4.4890790104883465	13.46723703146504	7.24471097896044	7.8	8.35528902103956	0.07119090013327689
80000	4.657696664045312	13.973089992135936	6.479278386208362	8.0	9.520721613791638	0.19009020172395474
100000	4.711710714547694	14.135132143643082	7.24471097896044	7.8	8.35528902103956	0.07119090013327689
200000	4.878655738566527	14.635967215699582	7.719912619341743	8.4	9.080087380658258	0.08096278341169726
400000	5.044340349645121	15.133021048935362	7.64471097896044	8.2	8.755289021039559	0.06771817329750729
800000	5.208784566964428	15.626353700893283	7.719912619341743	8.4	9.080087380658258	0.08096278341169726
1000000	5.261464353591485	15.784393060774455	8.16114936631643	9.2	10.238850633683569	0.11291854713951845
