# n	Lowerbound	3*Lowerbound	ciLow	ave	ciHigh	RelErr
100	3.0154738238809906	9.046421471642972	3.747568567451802	4.2	4.652431432548198	0.10772176965433292
200	3.177612685603437	9.532838056810311	3.8705423736616367	4.7	5.529457626338363	0.17648034602943904
400	3.3465589395509237	10.03967681865277	4.542632368880355	5.2	5.857367631119645	0.12641685213839327
800	3.5185720231750044	10.555716069525014	4.898379044967868	5.2	5.501620955032132	0.058004029813871566
1000	3.574249916581999	10.722749749745997	5.230591282220162	5.6	5.969408717779837	0.06596584246068518
2000	3.747486162352814	11.242458487058443	5.523095396031619	6.0	6.476904603968381	0.0794841006613969
4000	3.9205385486777398	11.761615646033219	5.747568567451802	6.2	6.652431432548198	0.0729728117013223
8000	4.092901344679497	12.27870403403849	5.662777520554872	6.0	6.337222479445128	0.0562037465741879
10000	4.148191313801706	12.444573941405118	6.230591282220162	6.6	6.969408717779837	0.05597101784542985
20000	4.319221866822944	12.957665600468832	6.099818231624879	6.6	7.10018176837512	0.07578511642047281
40000	4.4890790104883465	13.46723703146504	6.898379044967868	7.2	7.501620955032132	0.04189179931001835
80000	4.657696664045312	13.973089992135936	7.493930361966666	7.9	8.306069638033335	0.05140122000421951
100000	4.711710714547694	14.135132143643082	7.217170888079028	7.7	8.182829111920972	0.06270507947025612
200000	4.878655738566527	14.635967215699582	7.415913532146688	8.0	8.584086467853313	0.07301080848166401
400000	5.044340349645121	15.133021048935362	7.994166280832308	8.5	9.005833719167692	0.059509849313846015
800000	5.208784566964428	15.626353700893283	8.273637044343488	8.9	9.526362955656513	0.07037786018612496
1000000	5.261464353591485	15.784393060774455	8.122973806209835	8.5	8.877026193790165	0.04435602279884297
