Load	LBDelay	AvgDelay	UBDelay	LBUsers	AvgUsers	UBUsers	LBLosses	AvgLosses	UBLosses	TheoDelay	TheoUsers
0.04	0.20521039953987966	0.2100057579419853	0.21480111634409096	0.04107085927645103	0.04224920749381913	0.04342755571118723	0.0	0.0	0.0	0.20829493087557605	0.0416564266404522
0.05918367346938776	0.31031054421790366	0.31416620782537386	0.31802187143284405	0.06130957105871258	0.06237900378831562	0.06344843651791866	-0.1016209550321322	0.2	0.5016209550321322	0.3143495500343574	0.06285764807874879
0.07836734693877552	0.4105128945281528	0.4190234466065193	0.4275339986848858	0.0806523485953218	0.0827480744499616	0.0848438003046014	-0.09110042880980862	0.6	1.2911004288098087	0.4245889725285379	0.08488012600166704
0.09755102040816327	0.528382228653455	0.539955979775933	0.5515297308984111	0.10507188594862006	0.10735404935441387	0.10963621276020767	0.8310144322913331	1.6	2.368985567708667	0.5391197875195417	0.10773361903899549
0.11673469387755102	0.644849991572828	0.656573221094621	0.6682964506164141	0.12516014948385623	0.12945966478213333	0.13375918008041043	1.4705423736616363	2.3	3.1294576263383633	0.6580234484008719	0.13141974449155566
0.13591836734693877	0.7697111392613732	0.7827449854380146	0.795778831614656	0.15326949890844482	0.15609556431270502	0.15892162971696522	4.107793182887602	5.0	5.892206817112398	0.7813582094009197	0.15593247171874478
0.15510204081632653	0.8778064419481675	0.8975614823737432	0.917316522799319	0.17376687606769825	0.17992795880903084	0.18608904155036343	5.011113026588345	6.6	8.188886973411655	0.9091610534774669	0.18125865047203832
0.1742857142857143	1.0324897758168228	1.0510564294479487	1.0696230830790747	0.20438471025332564	0.2100725109137383	0.21576031157415096	7.094548177373951	9.6	12.105451822626048	1.0414495879465284	0.2073785694426863
0.19346938775510206	1.1466488887354036	1.1742453927303762	1.2018418967253488	0.22483078752643976	0.2317795235560129	0.23872825958558602	7.190295616754128	10.1	13.009704383245872	1.1782238884512828	0.23426653932251632
0.21265306122448982	1.2914053490988877	1.3135361998554813	1.335667050612075	0.25482873774182885	0.26065356885992264	0.2664783999780164	11.21507694639788	14.4	17.584923053602118	1.3194682757326812	0.2618914939676724
