	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.8983790449678677	1.2	1.5016209550321322	0.25135079586011017
1	Avg users	0.3865215131637671	0.4014715762719633	0.4164216393801594	0.037238160785930036
2	Arrivals	191.92168605912315	199.8	207.67831394087688	0.039431000705089356
3	Departures	189.62457634503684	197.3	204.97542365496318	0.03890229931557606
4	Delay	2.01151203612849	2.033748121193029	2.055984206257568	0.010933549161188582
5	Res queue	0.8983790449678677	1.2	1.5016209550321322	0.25135079586011017
6	Losses	0.47054237366163654	1.3	2.1294576263383638	0.6380443279525873
