	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	4.221041085821587	11.4	18.578958914178415	0.6297332380858257
1	Avg users	9.172023161532136	14.004936697736982	18.83785023394183	0.34508642491656405
2	Arrivals	1958.523369895868	2001.9	2045.2766301041322	0.021667730707893556
3	Departures	1949.4858574725354	1990.5	2031.5141425274646	0.020604944751300994
4	Delay	46.687187070784574	69.41346562155351	92.13974417232245	0.32740446464197603
5	Res queue	4.221041085821587	11.4	18.578958914178415	0.6297332380858257
6	Losses	0.0	0.0	0.0	
7	S1 Calls	1165.0699911010056	1191.7	1218.3300088989945	0.022346235545015077
8	S2 Calls	785.9659430774948	800.6	815.2340569225053	0.018278862006626533
