	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	1.1790205367151145	2.3	3.420979463284885	0.4873823753412545
1	Avg users	1.636847718307552	1.8088759435525565	1.980904168797561	0.09510227932333946
2	Arrivals	197.03113780399116	205.2	213.36886219600882	0.039809269961056756
3	Departures	162.52718845462059	168.3	174.07281154537944	0.034300722194767895
4	Delay	9.52819020525264	10.597409000844564	11.666627796436488	0.10089435969742347
5	Res queue	1.1790205367151145	2.3	3.420979463284885	0.4873823753412545
6	Losses	27.179572781072615	34.6	42.02042721892739	0.21446321441986663
