	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	2.1064034556661806	9.3	16.49359654433382	0.7735050047670774
1	Avg users	4.368064336586848	7.495501964544927	10.622939592503005	0.41724191958743023
2	Arrivals	194.02752760351345	203.8	213.57247239648657	0.047951287519561105
3	Departures	187.38428604872647	194.5	201.61571395127353	0.036584647564388374
4	Delay	22.594930270868055	36.14604470686011	49.697159142852165	0.3748989563281375
5	Res queue	2.1064034556661806	9.3	16.49359654433382	0.7735050047670774
6	Losses	0.0	0.0	0.0	
