Load	LBDelay	AvgDelay	UBDelay	LBUsers	AvgUsers	UBUsers	LBLosses	AvgLosses	UBLosses	TheoDelay	TheoUsers	TheoLoss
0.04	0.20521039953987966	0.2100057579419853	0.21480111634409096	0.04107085927645103	0.04224920749381913	0.04342755571118723	0.0	0.0	0.0	0.20833333333333331	0.041666666666666664	4.222124650659842e-30
0.05918367346938776	0.3102540620554531	0.3139538003553767	0.31765353865530027	0.06120820433307076	0.062305407695858114	0.06340261105864547	0.0	0.0	0.0	0.3145336225596528	0.06290672451193056	1.5479079139024747e-26
0.07836734693877552	0.41856679532044644	0.4256021265844116	0.43263745784837676	0.08256291706231932	0.08493592526164458	0.08730893346096984	0.0	0.0	0.0	0.4251550044286979	0.08503100088573959	5.513100181434849e-24
0.09755102040816327	0.5320841576352897	0.5384792681425365	0.5448743786497834	0.10574125013136197	0.10722399037353021	0.10870673061569845	0.0	0.0	0.0	0.540479421076436	0.1080958842152872	5.36155550659459e-22
0.11673469387755102	0.6607245439371531	0.6698701844471894	0.6790158249572257	0.13184202231309144	0.13397263201283527	0.1361032417125791	0.0	0.0	0.0	0.6608133086876152	0.13216266173752306	2.2766176375765374e-20
0.13591836734693877	0.7589408324655639	0.7741210915234198	0.7893013505812757	0.15168929438148526	0.15396401620096012	0.15623873802043498	0.0	0.0	0.0	0.7864903164855925	0.1572980632971185	5.437457877717082e-19
0.15510204081632653	0.897696877915314	0.9195851839647047	0.9414734900140953	0.17898420605137658	0.18514182891597	0.19129945178056343	0.0	0.0	0.0	0.9178743961352654	0.1835748792270531	8.506913530481193e-18
0.1742857142857143	1.0372294202795256	1.0526026127708106	1.0679758052620956	0.20600745318773653	0.2092100340117927	0.21241261483584886	0.0	0.0	0.0	1.055363321799306	0.21107266435986116	9.62337483893559e-17
0.19346938775510206	1.1984475038548494	1.211018749499713	1.2235899951445768	0.23930121792556242	0.24304272832828575	0.24678423873100908	0.0	0.0	0.0	1.199392712550586	0.23987854251011703	8.42322224061077e-16
0.21265306122448982	1.3331352056412236	1.354506356432672	1.3758775072241205	0.2651106774103285	0.2707125528308951	0.27631442825146174	0.0	0.0	0.0	1.3504406428199445	0.2700881285639873	5.9878451536798915e-15
0.23183673469387753	1.4673698101711412	1.5165842239034208	1.5657986376357005	0.29166668970472764	0.3038393088468934	0.3160119279890592	0.0	0.0	0.0	1.5090329436758032	0.30180658873514987	3.583280556409207e-14
0.2510204081632653	1.6003019157653913	1.6322513979440916	1.6642008801227919	0.31662692501947604	0.32457013496309317	0.3325133449067103	0.0	0.0	0.0	1.6757493187945618	0.3351498637588502	1.8550671882701727e-13
0.2702040816326531	1.7625076553304457	1.8326150569631892	1.9027224585959326	0.34833832226010897	0.3644007067647731	0.3804630912694372	0.0	0.0	0.0	1.851230425022936	0.37024608500427303	8.486555127304221e-13
0.28938775510204084	1.8890746293853102	1.953734622391357	2.018394615397404	0.36936129612320223	0.38656596597800086	0.4037706358327995	0.0	0.0	0.0	2.036186099793366	0.4072372199572523	3.4891195799013975e-12
0.30857142857142855	2.1304423643732497	2.224474845028818	2.318507325684386	0.4255222524858243	0.4437692216051247	0.4620161907244251	0.0	0.0	0.0	2.2314049580653146	0.4462809916072308	1.3068244626425438e-11
0.3277551020408163	2.3227474914715525	2.3839151236056635	2.4450827557397745	0.45724698837575917	0.47473359256635295	0.4922201967569467	0.0	0.0	0.0	2.437765632178725	0.48755312641376203	4.5088542206339475e-11
0.3469387755102041	2.596975753056022	2.6786867989734895	2.760397844890957	0.5102378061882125	0.5329999196199123	0.5557620330516122	0.0	0.0	0.0	2.6562499919322615	0.5312499983096167	1.446317252243593e-10
0.36612244897959184	2.7915335246676483	2.9159840725204167	3.040434620373185	0.5491199226899207	0.5819989102874097	0.6148778978848987	0.0	0.0	0.0	2.8879587630783505	0.5775917523646088	4.3466923594177756e-10
0.3853061224489796	3.039945206520447	3.155789590604668	3.2716339746888887	0.6051259073430618	0.633538306641568	0.6619507059400741	0.0	0.0	0.0	3.134130065001296	0.6268260122280589	1.2319213912609519e-09
0.40448979591836737	3.3585716257729787	3.4872565100654107	3.6159413943578427	0.6690501841450335	0.696693818898207	0.7243374536513806	0.0	0.0	0.0	3.396161518493913	0.6792323014499014	3.310916140814596e-09
0.42367346938775513	3.5227697255383483	3.622761228161095	3.7227527307838417	0.699834162761008	0.7254888433223023	0.7511435238835967	0.0	0.0	0.0	3.675636739316569	0.7351273416304471	8.478621873013355e-09
0.4428571428571429	3.765583262627807	3.8944435756782183	4.02330388872863	0.7546271922067596	0.7812545415616275	0.8078818909164955	0.0	0.0	0.0	3.974357240596099	0.7948714316072001	2.0773195311524864e-08
0.46204081632653066	4.080874055708258	4.232900335376376	4.3849266150444945	0.8135915427223885	0.8489046513653031	0.8842177600082177	0.0	0.0	0.0	4.294381025333177	0.8588761630939161	4.8869347046049364e-08
0.4812244897959184	4.361913483989301	4.540859716098754	4.719805948208207	0.8674832168719903	0.9068444012842878	0.9462055856965853	0.0	0.0	0.0	4.638069466295972	0.927613790540642	1.1073416779800255e-07
0.5004081632653061	4.81599115000465	5.012502476237764	5.209013802470879	0.9544191992535923	1.0057397868621216	1.0570603744706508	0.0	0.0	0.0	5.00814444721336	1.0016286467065647	2.4234136014165106e-07
0.5195918367346939	5.068227479763066	5.290816270898546	5.513405062034026	1.004338591956882	1.0539187678501887	1.1034989437434954	0.0	0.0	0.0	5.407758170200121	1.081551078690272	5.134750250180969e-07
0.5387755102040817	5.634673808121352	6.049741821059327	6.464809833997302	1.1149768384736656	1.2127352832462837	1.3104937280189017	0.0	0.0	0.0	5.840578496457385	1.168114466290164	1.0555472491724844e-06
0.5579591836734694	6.045935975767838	6.252837151646424	6.4597383275250095	1.21284517977981	1.2672847124084963	1.3217242450371824	0.0	0.0	0.0	6.310893127950227	1.2621759634225036	2.109184459309136e-06
0.5771428571428572	6.776037721998584	7.014195470281213	7.252353218563842	1.3635376112005326	1.4219496798242113	1.48036174844789	0.0	0.0	0.0	6.823736257518767	1.3647416513731088	4.103419617438791e-06
0.5963265306122449	7.079359663912521	7.421531042285627	7.763702420658734	1.4113841931454811	1.4765704507091424	1.5417567082728036	0.0	0.0	0.0	7.385041343335097	1.4769967716575072	7.783984528833079e-06
0.6155102040816327	7.407274789363075	7.885078691477977	8.362882593592879	1.4625690707689696	1.5627991515262216	1.6630292322834737	0.0	0.0	0.0	8.001823129252532	1.600341555500441	1.4415683584059973e-05
0.6346938775510205	8.259445092827072	9.035501426264844	9.811557759702616	1.6674356857287453	1.8348637720062595	2.002291858283774	0.0	0.0	0.0	8.68239052928269	1.7364327956084395	2.6093187092853e-05
0.6538775510204082	8.502775354224276	9.1597703630005	9.816765371776725	1.685234498176802	1.83000305999771	1.974771621818618	0.0	0.0	0.0	9.436588952868505	1.887230586317102	4.62053910764435e-05
