	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.08526473776071009	1.4	2.71473526223929	0.9390966158852071
1	Avg users	0.6441000462172563	0.7435533942376076	0.8430067422579589	0.1337541443440312
2	Arrivals	189.9990211188475	201.3	212.6009788811525	0.05613998450647052
3	Departures	188.72856691127808	199.9	211.07143308872193	0.055885107997608485
4	Delay	3.3793020557056526	3.6684554720756024	3.9576088884455523	0.07882156906932483
5	Res queue	0.08526473776071009	1.4	2.71473526223929	0.9390966158852071
6	Losses	0.0	0.0	0.0	
7	S1 Calls	122.14444922325903	125.4	128.65555077674097	0.025961329958061954
8	S2 Calls	64.74035528534816	75.4	86.05964471465185	0.14137459833755756
