	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.5426323688803549	1.2	1.857367631119645	0.5478063592663709
1	Avg users	1.633674185340625	1.6652922936833838	1.6969104020261427	0.01898652174317359
2	Arrivals	1962.5405544066566	2002.3	2042.0594455933433	0.01985688737618909
3	Departures	1446.7465617940395	1466.5	1486.2534382059605	0.013469783979516255
4	Delay	11.082556355673079	11.350611001344493	11.618665647015908	0.023615878091466938
5	Res queue	0.5426323688803549	1.2	1.857367631119645	0.5478063592663709
6	Losses	501.1143002142514	534.6	568.0856997857486	0.06263692440282198
7	S1 Calls	542.8649333606851	562.5	582.1350666393149	0.03490678513655976
8	S2 Calls	890.8388378208441	905.1	919.3611621791559	0.015756449209099445
