	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.6627775205548726	1.0	1.3372224794451273	0.3372224794451274
1	Avg users	0.5990825214687319	0.6255890940697311	0.6520956666707304	0.04237057974997988
2	Arrivals	195.83432632892203	203.7	211.56567367107795	0.038614009185458834
3	Departures	191.0798638603481	198.4	205.7201361396519	0.036895847478084186
4	Delay	3.054098221706227	3.148519999901126	3.2429417780960255	0.029989257872862288
5	Res queue	0.6627775205548726	1.0	1.3372224794451273	0.3372224794451274
6	Losses	2.9075528875518515	4.3	5.692447112448148	0.32382490987166235
7	S1 Calls	85.22952710857818	95.7	106.17047289142182	0.10940933010890094
8	S2 Calls	95.68395850101844	103.7	111.71604149898157	0.0773003037510276
