	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.35444978559509566	0.7	1.0455502144049043	0.4936431634355776
1	Avg users	0.366535138464781	0.3995210794041809	0.43250702034358085	0.08256370599667219
2	Arrivals	191.38783913261182	200.1	208.81216086738817	0.043539034819531156
3	Departures	190.93443952208162	199.4	207.8655604779184	0.04245516789327176
4	Delay	1.89563555048552	1.9990817176957532	2.102527884905986	0.051746842710097225
5	Res queue	0.35444978559509566	0.7	1.0455502144049043	0.4936431634355776
6	Losses	0.0	0.0	0.0	
