	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.37480988883799093	1.6	2.8251901111620095	0.7657438194762557
1	Avg users	0.7885451328906407	0.9070894954232274	1.0256338579558142	0.13068651233501127
2	Arrivals	189.43395239692592	201.7	213.96604760307406	0.06081332475495325
3	Departures	187.11341285592312	199.1	211.08658714407687	0.06020385305915059
4	Delay	4.1542998690524895	4.507560277578863	4.860820686105236	0.07837064548721223
5	Res queue	0.37480988883799093	1.6	2.8251901111620095	0.7657438194762557
6	Losses	-0.3488899177805096	1.0	2.3488899177805096	1.3488899177805096
