	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.47363704434348786	1.1	1.7263629556565123	0.5694208687786474
1	Avg users	0.7100511040701956	0.7878733800221288	0.865695655974062	0.09877510514411272
2	Arrivals	191.2334135794992	200.7	210.16658642050078	0.04716784464624217
3	Departures	190.0965464008727	199.6	209.10345359912728	0.04761249298159964
4	Delay	3.589538994015392	3.937720253781207	4.285901513547022	0.08842204050210857
5	Res queue	0.47363704434348786	1.1	1.7263629556565123	0.5694208687786474
6	Losses	0.0	0.0	0.0	
7	S1 Calls	84.19256557337525	89.9	95.60743442662476	0.06348647860539225
8	S2 Calls	103.53015521501881	110.7	117.8698447849812	0.06476824557345258
