	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.6213528511777027	1.3	1.9786471488222974	0.5220362683248441
1	Avg users	0.4866502389559705	0.5100616494588044	0.5334730599616382	0.045899178124201884
2	Arrivals	195.8659972979591	202.8	209.73400270204093	0.03419133482268701
3	Departures	192.06303056493448	199.1	206.1369694350655	0.03534389470148428
4	Delay	2.5045437379507876	2.554202033777516	2.6038603296042444	0.01944180419952402
5	Res queue	0.6213528511777027	1.3	1.9786471488222974	0.5220362683248441
6	Losses	1.3771535765733456	2.4	3.4228464234266545	0.426186009761106
7	S1 Calls	146.42183817828962	150.5	154.57816182171038	0.02709742074226173
8	S2 Calls	45.484079205390465	49.8	54.11592079460953	0.08666507619697852
