	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.7432147810625881	1.7	2.656785218937412	0.5628148346690658
1	Avg users	1.4174370904523774	1.5286909595297509	1.6399448286071245	0.07277721398417701
2	Arrivals	200.19781877949853	206.2	212.20218122050144	0.029108541321539498
3	Departures	183.58869269767072	187.9	192.2113073023293	0.022944690273173446
4	Delay	7.580252468283527	8.086475249945146	8.592698031606764	0.06260116627019316
5	Res queue	0.7432147810625881	1.7	2.656785218937412	0.5628148346690658
6	Losses	12.578701467007011	16.6	20.62129853299299	0.242246899577891
