	MEASURES	Lower bound	Mean	Upper bound	Relative error
0	Res users	0.8310144322913331	1.6	2.368985567708667	0.48061597981791687
1	Avg users	1.3870830728013743	1.54524130584196	1.7033995388825456	0.10235180255837749
2	Arrivals	192.4751472890236	203.8	215.12485271097643	0.055568462762396575
3	Departures	171.89166439401407	177.9	183.90833560598594	0.033773668386655
4	Delay	7.883675069588788	8.616806204425806	9.349937339262825	0.08508153919725663
5	Res queue	0.8310144322913331	1.6	2.368985567708667	0.48061597981791687
6	Losses	17.59741160415886	24.3	31.00258839584114	0.27582668295642554
