#bits	p(FP)	size(KB)
19	50.63152313232422	512.0546875
20	29.746723175048828	1024.0546875
21	16.18828773498535	2048.0546875
22	8.448600769042969	4096.0546875
23	4.316079616546631	8192.0546875
24	2.181905508041382	16384.0546875
