#bits	ciLow	P(FP)	ciHigh	size(KB)
19	47.96863631366759	51.19999999999999	54.43136368633239	4096.0546875
20	28.468845958685048	31.399999999999995	34.331154041314946	8192.0546875
21	13.761182590859663	16.200000000000003	18.63881740914034	16384.0546875
22	6.760825716282694	8.8	10.839174283717307	32768.0546875
23	3.3635796325405307	4.699999999999999	6.036420367459468	65536.0546875
24	1.4181664549196338	2.4000000000000004	3.381833545080367	131072.0546875
